PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA,WinRateB
Coric B.,Tiafoe F.,89,29,0,2.84,1.52,2.76,1.46,0,2,-2,12,14,23,19,0.46153846153846156,0.5476190476190477
Evans D.,Tabilo A.,60,19,0,3.26,1.48,2.93,1.4,0,1,-1,20,27,8,6,0.425531914893617,0.5714285714285714
Bublik A.,Cazaux A.,23,98,1,1.37,3.5,1.34,3.27,1,0,1,38,19,1,2,0.6666666666666666,0.3333333333333333
Paul T.,Virtanen O.,13,147,1,1.12,9.25,1.09,7.59,1,0,1,24,13,2,2,0.6486486486486487,0.5
Griekspoor T.,Kecmanovic M.,27,52,0,1.64,2.6,1.59,2.37,4,1,3,20,11,15,19,0.6451612903225806,0.4411764705882353
Auger-Aliassime F.,Kokkinakis T.,17,93,0,1.4,3.29,1.37,3.09,0,1,-1,28,16,5,7,0.6363636363636364,0.4166666666666667
Coria F.,Walton A.,72,101,0,4.29,1.31,3.97,1.25,0,1,-1,0,4,2,3,0.0,0.4
Diaz Acosta F.,Norrie C.,67,42,0,13.0,1.08,9.62,1.06,1,2,-1,0,1,22,21,0.0,0.5116279069767442
De Minaur A.,Duckworth J.,9,81,1,1.08,13.99,1.05,10.12,2,0,2,33,19,12,20,0.6346153846153846,0.375
Draper J.,Ymer E.,28,205,1,1.05,17.24,1.03,12.12,1,0,1,18,8,0,3,0.6923076923076923,0.0
Jubb P.,Seyboth Wild T.,201,74,0,1.7,2.35,1.64,2.26,0,1,-1,3,6,2,2,0.3333333333333333,0.5
Bellucci M.,Shelton B.,148,14,0,3.71,1.37,3.35,1.33,0,1,-1,1,3,8,10,0.25,0.4444444444444444
Choinski J.,Darderi L.,174,37,0,3.48,1.39,3.14,1.36,0,1,-1,1,5,2,6,0.16666666666666666,0.25
Korda S.,Mpetshi G.,21,58,0,1.25,4.84,1.21,4.35,0,1,-1,16,9,5,6,0.64,0.45454545454545453
Giron M.,Searle H.,46,539,1,1.19,5.52,1.17,5.1,1,0,1,18,17,0,2,0.5142857142857142,0.0
Albot R.,Hurkacz H.,144,7,0,14.36,1.06,10.99,1.04,1,1,0,8,16,26,15,0.3333333333333333,0.6341463414634146
Monteiro T.,Popyrin A.,86,47,0,3.66,1.34,3.41,1.32,0,1,-1,2,7,7,16,0.2222222222222222,0.30434782608695654
Lestienne C.,Musetti L.,92,25,0,8.12,1.14,6.8,1.11,0,1,-1,1,6,18,10,0.14285714285714285,0.6428571428571429
Cobolli F.,Hijikata R.,48,77,1,2.25,1.74,2.16,1.7,1,0,1,5,6,7,9,0.45454545454545453,0.4375
Fils A.,Stricker D.,34,149,1,1.46,3.1,1.42,2.9,1,1,0,6,5,4,4,0.5454545454545454,0.5
Harris B.,Munar J.,116,63,0,1.63,2.61,1.57,2.41,0,1,-1,8,6,4,13,0.5714285714285714,0.23529411764705882
Borges N.,Nishioka Y.,50,90,0,2.15,1.88,2.03,1.79,0,2,-2,3,9,4,12,0.25,0.25
