PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff
Fritz T.,Molcan A.,14,51,1,1.25,5.0,1.21,4.47,1,0,1
Broady L.,De Minaur A.,132,27,0,7.5,1.16,6.34,1.12,0,2,-2
Kubler J.,Sock J.,99,103,1,2.55,1.61,2.42,1.57,1,0,1
Brooksby J.,Garin C.,34,43,0,1.42,3.35,1.37,3.09,0,1,-1
Gasquet R.,Van De Zandschulp B.,69,25,0,3.44,1.42,3.04,1.38,1,2,-1
Alcaraz C.,Otte O.,7,36,1,1.33,4.2,1.3,3.5,1,0,1
Goffin D.,Humbert U.,58,112,1,1.76,2.42,1.65,2.24,2,2,0
Cressy M.,Sock J.,45,103,0,1.5,2.95,1.45,2.75,1,1,0
Paul T.,Vesely J.,32,68,1,1.55,3.0,1.46,2.73,3,0,3
Johnson S.,Norrie C.,93,12,0,3.76,1.33,3.56,1.3,0,1,-1
Bublik A.,Tiafoe F.,38,28,0,1.84,2.13,1.79,2.04,2,2,0
Djokovic N.,Kecmanovic M.,3,30,1,1.04,21.0,1.02,15.88,3,0,3
Basilashvili N.,Van Rijthoven T.,26,104,0,3.1,1.47,2.87,1.42,0,1,-1
Kubler J.,Novak D.,99,153,1,1.53,2.93,1.49,2.65,1,0,1
Isner J.,Sinner J.,24,13,0,2.46,1.66,2.31,1.61,1,2,-1
Berankis R.,Nadal R.,106,4,0,15.0,1.07,11.61,1.04,0,2,-2
Broady L.,Schwartzman D.,132,15,1,3.5,1.37,3.32,1.33,1,1,0
Ruusuvuori E.,Van De Zandschulp B.,49,25,0,2.2,1.83,2.1,1.75,2,1,1
De Minaur A.,Draper J.,27,94,1,1.57,2.71,1.52,2.53,4,1,3
Gasquet R.,McDonald M.,69,55,1,2.49,1.69,2.3,1.62,1,1,0
Nakashima B.,Shapovalov D.,56,16,1,2.4,1.68,2.29,1.62,2,1,1
Bautista Agut R.,Galan D.E.,19,109,0,1.11,10.5,1.07,8.51,1,1,0
Garin C.,Grenier H.,43,141,1,1.51,3.25,1.4,2.95,1,0,1
Krajinovic F.,Kyrgios N.,31,40,0,4.02,1.33,3.75,1.28,0,2,-2
Giron M.,Molcan A.,65,51,0,1.63,2.75,1.54,2.5,0,1,-1
Gaston H.,Sonego L.,66,54,0,4.74,1.27,4.17,1.23,0,3,-3
Thompson J.,Tsitsipas S.,76,5,0,5.25,1.24,4.61,1.2,1,4,-3
Bonzi B.,Brooksby J.,47,34,0,1.72,2.52,1.62,2.29,0,2,-2
Fritz T.,Gray A.,14,288,1,1.06,16.0,1.04,11.42,1,0,1
Harrison C.,Otte O.,251,36,0,6.5,1.2,5.56,1.15,0,1,-1
Munar J.,Norrie C.,71,12,0,7.0,1.18,6.15,1.13,1,2,-1
Isner J.,Murray A.,24,52,1,3.45,1.43,3.21,1.35,1,7,-6
