PlayerA,PlayerB,RankA,RankB,RankDiff,Court,Surface,WinnerBinary
Munar J.,Ruud C.,66,7,59.0,Outdoor,Clay,0
Alcaraz C.,Draper J.,3,5,-2.0,Outdoor,Clay,1
Musetti L.,Zverev A.,9,2,7.0,Outdoor,Clay,1
Medvedev D.,Musetti L.,11,9,2.0,Outdoor,Clay,0
Fils A.,Zverev A.,14,2,12.0,Outdoor,Clay,0
Cerundolo F.,Sinner J.,18,1,17.0,Outdoor,Clay,0
De Minaur A.,Paul T.,8,12,-4.0,Outdoor,Clay,0
Draper J.,Moutet C.,5,83,-78.0,Outdoor,Clay,1
Alcaraz C.,Khachanov K.,3,24,-21.0,Outdoor,Clay,1
Hurkacz H.,Mensik J.,31,21,10.0,Outdoor,Clay,1
Cerundolo F.,Ofner S.,18,143,-125.0,Outdoor,Clay,1
Korda S.,Munar J.,23,66,-43.0,Outdoor,Clay,0
Machac T.,Paul T.,20,12,8.0,Outdoor,Clay,0
Marozsan F.,Mensik J.,61,21,40.0,Outdoor,Clay,0
Giron M.,Hurkacz H.,45,31,14.0,Outdoor,Clay,0
De Minaur A.,Dellien H.,8,103,-95.0,Outdoor,Clay,1
De Jong J.,Sinner J.,93,1,92.0,Outdoor,Clay,0
Berrettini M.,Ruud C.,30,7,23.0,Outdoor,Clay,0
Fils A.,Tsitsipas S.,14,19,-5.0,Outdoor,Clay,1
Draper J.,Kopriva V.,5,92,-87.0,Outdoor,Clay,1
Musetti L.,Nakashima B.,9,29,-20.0,Outdoor,Clay,1
Moutet C.,Rune H.,83,10,73.0,Outdoor,Clay,1
